,Name,Club,Overall,Value,foot,SM,W/F,D/W,A/W,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,PAC,SHO,PAS,DRI,DEF,PHY
810,Baptiste Santamaria,Angers SCO,78,12500000.0,0,3,2,1,1,64,64,62,81,42,76,48,59,79,81,63,64,72,73,69,73,70,87,67,62,70,75,61,74,46,67,77,78,77,7,7,13,7,8,64,63,73,77,75,73
811,Rodrigo Battaglia,Sporting CP,78,10500000.0,0,3,4,0,1,46,61,68,78,53,74,45,59,76,76,64,68,60,75,61,76,70,85,75,78,87,82,75,72,57,73,81,83,76,7,7,7,9,9,66,68,68,73,80,80
812,Guillermo Maripán,AS Monaco,78,12000000.0,0,2,2,0,2,41,28,76,62,31,40,29,27,59,59,38,41,31,74,31,58,65,54,92,24,80,78,28,33,30,69,80,79,75,7,12,7,16,12,40,33,48,46,78,79
813,Mahmoud Dahoud,Borussia Dortmund,78,14000000.0,0,4,4,0,0,67,58,43,80,59,84,68,53,74,82,78,68,87,77,88,81,71,89,57,73,68,77,66,80,55,62,72,59,52,14,7,9,12,11,73,66,75,84,64,68
814,Bartolomeu Quissanga,Lazio,78,10500000.0,0,2,3,0,1,36,30,74,70,31,62,35,28,65,68,79,78,62,72,76,49,70,61,82,41,75,79,31,28,50,67,80,80,77,13,8,11,12,12,78,37,50,65,79,75
815,Jean Michaël Seri,Galatasaray SK,78,10500000.0,0,3,4,1,1,72,65,60,83,47,75,80,81,81,83,75,62,85,73,80,76,64,75,56,74,67,69,70,78,67,81,69,71,65,14,13,9,10,12,68,68,79,79,68,63
816,Marcelo Augusto Ferreira Teixeira,Sivasspor,78,7500000.0,0,3,4,0,1,78,34,67,74,40,77,68,34,61,76,77,75,77,77,74,71,73,91,64,65,79,77,69,52,41,73,76,78,77,13,7,15,7,14,76,50,66,77,76,74
817,Nery Domínguez,Racing Club,78,9000000.0,0,3,3,1,1,58,61,68,77,43,66,44,56,80,75,58,56,60,73,60,77,71,81,79,69,69,75,56,80,55,73,77,77,78,15,13,12,11,16,57,64,72,68,76,77
818,Ignacio Fernández,River Plate,78,10000000.0,1,4,2,1,0,73,70,63,81,68,81,79,75,76,79,74,75,79,75,69,76,46,81,69,78,72,66,77,80,70,80,67,64,59,7,8,14,10,12,75,73,78,79,65,71
819,Aleksandar Mitrović,Fulham,78,13500000.0,0,3,4,1,1,29,79,85,70,77,66,42,52,43,76,58,66,67,77,60,82,82,64,90,70,89,14,82,68,70,76,25,24,13,15,12,6,7,13,62,77,55,69,27,83
820,Ayoze Pérez Gutiérrez,Leicester City,78,13000000.0,0,4,4,0,0,56,80,75,75,77,82,79,60,51,80,77,76,82,82,78,70,73,84,54,65,70,49,83,74,73,73,54,54,42,12,12,11,14,8,76,75,67,81,54,66
821,Nikola Maksimović,Napoli,78,10500000.0,0,2,3,0,1,45,22,79,59,28,49,29,23,59,61,59,64,49,71,58,39,65,64,86,29,78,80,29,31,26,70,79,80,79,12,9,5,11,15,62,28,47,54,80,78
822,Rúben Miguel Nunes Vezo,Levante UD,78,12500000.0,0,2,2,1,1,65,53,74,69,51,57,57,32,68,67,74,76,68,73,70,59,83,69,76,55,77,79,45,55,50,70,78,81,80,11,6,12,9,14,75,54,63,63,79,75
823,Emiliano Rigoni,Sampdoria,78,12000000.0,1,4,5,2,1,75,73,65,73,71,82,81,78,71,77,90,90,83,69,68,71,57,80,58,76,44,33,75,74,60,71,51,41,55,16,6,10,8,16,90,73,74,79,46,61
824,Renzo Saravia,FC Porto,78,11500000.0,0,3,2,0,0,73,34,59,73,32,78,57,58,68,74,89,91,78,75,73,51,83,92,70,37,84,75,72,60,52,69,74,74,73,12,12,16,12,15,90,41,68,76,73,79
825,Guido Herrera,Club Atlético Talleres,78,9000000.0,1,1,2,1,1,17,17,20,29,18,20,12,21,18,20,60,47,42,73,56,55,67,45,65,12,27,28,12,53,28,57,24,15,17,77,75,73,78,79,77,75,73,79,53,78
826,Alejandro Donatti,Racing Club,78,6500000.0,0,2,4,1,1,38,53,86,70,36,50,68,76,68,62,46,53,49,71,32,80,84,70,85,67,76,78,55,35,48,59,79,75,75,13,10,6,15,12,50,60,57,54,78,79
827,Juan Musso,Udinese,78,10000000.0,0,1,3,1,1,20,18,15,31,15,16,16,12,24,20,46,42,32,59,39,56,51,35,70,14,27,18,19,48,25,67,12,14,16,80,77,74,79,81,80,77,74,81,44,79
828,Carlos Izquierdoz,Boca Juniors,78,8500000.0,0,2,2,0,1,44,45,82,72,50,49,32,43,63,63,50,50,34,74,51,64,85,77,86,54,74,80,35,33,63,58,78,76,76,8,11,7,8,8,50,51,54,53,78,81
830,Germán Cano,Independiente Medellín,78,9500000.0,0,3,4,2,0,44,83,73,69,78,73,66,56,61,78,63,73,75,76,68,82,74,72,70,73,48,35,81,68,83,78,44,23,19,14,10,8,6,13,69,80,62,75,36,66
831,Benjamin Bourigeaud,Stade Rennais FC,78,13000000.0,0,4,3,1,1,78,70,53,79,63,78,75,78,75,79,71,68,70,78,70,77,72,77,65,76,74,71,75,79,76,76,48,68,63,14,7,15,11,15,69,73,78,77,61,70
832,Alexey Miranchuk,Lokomotiv Moscow,78,14000000.0,1,3,2,1,1,72,67,57,81,62,80,74,78,76,80,73,75,78,75,78,65,58,75,64,65,43,36,75,82,64,76,22,28,29,8,8,9,12,15,74,66,78,79,31,62
833,Erick Pulgar,Fiorentina,78,12500000.0,0,3,3,0,1,69,49,69,78,54,74,77,71,75,78,65,63,67,74,68,78,79,83,75,68,79,73,58,75,75,78,79,78,74,12,12,11,15,11,64,61,75,74,76,78
834,Diego Laxalt,Torino,78,11000000.0,1,4,3,0,0,78,60,43,78,49,77,61,60,74,78,86,90,85,72,77,74,64,93,57,66,72,64,68,68,49,76,64,64,68,10,12,10,9,8,88,63,74,78,62,69
835,Flavien Tait,Stade Rennais FC,78,12000000.0,0,3,3,1,0,74,72,42,78,63,83,74,68,73,79,77,74,76,75,81,73,53,77,50,74,56,28,75,78,53,76,30,37,34,12,15,14,8,9,75,71,76,81,33,58
836,Guélor Kanga,Sparta Praha,78,10500000.0,0,4,4,2,0,72,68,57,79,63,78,69,72,79,80,80,71,91,78,91,80,54,83,61,81,63,54,64,79,82,84,45,59,55,9,15,10,9,9,75,73,77,81,53,67
837,Divock Origi,Liverpool,78,14000000.0,0,4,4,1,0,69,77,75,74,70,76,54,40,59,76,78,85,72,77,66,81,76,70,77,70,69,28,78,69,65,75,16,24,18,15,13,16,11,15,82,76,67,75,27,74
838,Mario Lemina,Galatasaray SK,78,13000000.0,0,3,3,1,1,72,57,68,82,68,80,72,68,77,81,69,75,68,73,72,81,46,75,73,78,70,72,71,74,68,68,72,73,69,12,9,15,8,16,72,68,76,78,72,72
839,Rodrigo Javier De Paul,Udinese,78,14000000.0,0,4,3,1,1,77,70,50,80,57,84,80,68,75,83,78,72,77,73,73,79,58,69,64,79,56,28,76,80,70,78,24,44,40,13,12,10,7,14,75,73,78,82,35,63
840,Leander Dendoncker,Wolverhampton Wanderers,78,13500000.0,0,2,4,0,0,75,66,78,79,71,72,73,71,78,75,59,73,58,73,55,85,73,86,85,76,75,78,76,76,55,76,77,79,76,14,8,14,14,6,67,72,77,71,78,83
841,José Pedro Malheiro de Sá,Olympiacos CFP,78,9500000.0,0,1,2,1,1,18,15,14,30,17,17,12,21,20,20,42,48,62,76,40,51,70,34,72,18,20,18,17,55,11,32,14,19,15,79,76,68,76,80,79,76,68,80,45,76
842,Roberto Gagliardini,Inter,78,12000000.0,0,3,2,0,1,64,54,73,78,68,75,68,38,75,77,62,60,63,72,62,76,63,85,68,73,74,78,68,73,40,74,77,78,76,12,6,8,7,9,61,63,71,74,77,73
843,Max Meyer,Crystal Palace,78,13500000.0,0,4,4,1,1,74,63,37,84,60,83,74,69,75,82,75,61,89,76,88,60,60,76,53,60,80,70,72,80,60,78,71,66,62,8,12,13,11,14,67,62,79,83,65,65
844,Vincenzo Grifo,SC Freiburg,78,12000000.0,0,4,2,1,1,83,73,47,75,70,83,85,80,66,84,74,67,79,75,81,81,52,71,62,76,52,45,76,73,68,70,50,31,30,10,12,8,8,14,70,75,76,82,41,62
845,Ibrahim Amadou,Norwich City,78,12000000.0,0,3,3,0,1,56,45,65,76,52,72,61,32,73,73,69,73,66,76,66,75,83,82,80,62,80,81,52,65,51,67,74,81,70,6,7,11,14,14,71,55,66,72,76,81
846,Armindo Tué Na Bangna,PSV,78,13000000.0,0,4,4,1,0,72,71,53,75,60,85,77,70,60,82,93,87,92,68,87,79,73,77,54,71,64,38,71,70,69,70,26,27,28,11,13,8,12,8,90,72,71,84,32,63
847,Domenico Berardi,Sassuolo,78,13000000.0,1,4,3,2,0,74,74,62,75,78,80,70,73,75,85,77,77,87,73,73,83,65,66,61,79,85,26,77,71,74,74,45,30,30,5,6,5,5,6,77,77,74,82,37,67
848,Jonas Hofmann,Borussia Mönchengladbach,78,12000000.0,0,3,4,1,1,78,69,40,77,62,77,69,71,72,79,75,76,77,76,77,68,61,82,60,68,43,57,78,77,68,71,49,44,40,6,6,10,10,10,76,69,76,78,47,62
849,Gaëtan Laborde,Montpellier HSC,78,14000000.0,1,3,3,1,0,64,79,81,74,77,76,68,52,61,74,70,74,73,77,64,78,85,80,80,69,72,24,77,68,66,72,37,29,16,14,15,9,14,9,72,76,67,75,34,79
850,Florent Mollet,Montpellier HSC,78,12000000.0,0,4,4,1,0,72,69,41,80,71,79,74,80,77,80,78,75,79,71,88,85,66,76,49,80,63,52,71,81,63,73,54,49,44,9,13,12,12,15,76,74,78,79,50,59
851,Óliver Torres Muñoz,Sevilla FC,78,13500000.0,0,3,4,1,0,73,66,52,81,63,83,77,64,77,84,70,65,78,76,78,65,51,76,37,67,58,67,74,80,65,81,65,63,58,7,7,14,6,8,67,66,78,82,63,52
852,Omar Mascarell González,FC Schalke 04,78,11500000.0,0,3,5,1,2,50,53,56,82,54,75,61,68,83,80,63,63,75,73,68,72,74,77,77,69,72,75,62,74,68,74,77,76,71,6,7,9,10,11,63,61,72,76,74,76
853,Hiroki Sakai,Olympique de Marseille,78,8500000.0,0,2,3,0,0,74,46,71,72,41,64,67,55,65,69,78,78,71,76,68,72,76,90,74,58,79,74,74,60,36,77,77,77,80,13,8,11,10,9,78,54,68,67,76,79
854,Marten de Roon,Atalanta,78,10500000.0,0,3,3,0,1,64,60,75,79,64,71,61,48,75,77,66,65,62,80,74,76,79,90,73,77,82,81,69,73,83,78,79,79,78,14,15,7,12,12,65,68,72,73,79,79
855,Christophe Hérelle,OGC Nice,78,11000000.0,0,2,3,1,1,60,40,80,77,35,58,49,42,68,68,61,67,62,74,62,59,80,76,73,49,74,78,49,45,47,72,77,79,78,15,10,14,12,13,64,46,63,62,78,74
856,Bryan Cristante,Roma,78,14000000.0,0,3,3,1,1,68,68,73,81,67,76,65,62,78,80,60,56,63,75,54,80,57,78,76,77,76,72,76,74,58,74,74,77,72,3,5,3,3,5,58,72,75,75,74,76
857,Bertrand Traoré,Olympique Lyonnais,78,13500000.0,1,4,1,1,0,65,74,69,74,75,83,78,74,69,86,85,89,88,75,69,76,80,73,64,66,60,49,78,73,69,72,40,40,37,11,7,7,13,12,87,73,71,83,44,66
858,Guido Pizarro,Tigres U.A.N.L.,78,9000000.0,0,3,3,0,1,62,59,68,79,62,69,66,54,73,74,58,44,62,71,40,69,74,90,80,65,87,77,67,71,60,75,74,80,76,7,12,16,15,7,50,63,71,68,76,84
859,Robin Olsen,Cagliari,78,7500000.0,0,1,2,1,1,20,11,16,32,16,11,18,16,37,18,31,40,32,73,33,57,40,37,75,14,27,20,13,55,26,45,22,12,16,78,77,76,78,78,78,77,76,78,36,78
860,Leonardo Pavoletti,Cagliari,78,10000000.0,0,3,3,2,0,33,82,93,68,80,66,49,28,36,74,62,58,64,77,60,80,86,70,84,56,69,24,83,56,67,76,49,21,17,15,6,12,14,9,60,76,51,68,37,78
861,Zouhair Feddal,Real Betis,78,8500000.0,1,2,2,1,1,57,40,79,75,49,58,36,38,73,67,45,61,45,68,32,67,71,61,79,56,81,77,52,47,48,69,78,79,77,13,14,12,10,8,54,50,62,59,78,75
862,Jorge Djaniny Tavares Semedo,Al Ahli,78,10500000.0,0,4,4,2,1,65,79,73,70,66,78,64,53,64,78,80,85,77,76,67,76,71,83,81,63,55,47,78,73,67,77,28,25,21,11,8,16,10,8,83,74,68,77,35,76
863,Jean-Paul Boëtius,1. FSV Mainz 05,78,13000000.0,0,4,4,0,1,72,69,61,75,72,81,80,60,67,79,85,85,89,75,75,71,68,83,60,73,47,35,77,79,61,72,41,43,36,15,12,9,11,9,85,70,74,81,42,64
864,Soualiho Meïté,Torino,78,13000000.0,0,3,3,1,1,69,48,75,80,55,80,54,54,78,80,68,65,67,76,61,75,74,84,86,77,77,74,74,75,55,78,76,76,71,13,7,7,13,11,66,61,74,78,75,83
865,Okay Yokuşlu,RC Celta,78,13000000.0,0,3,4,0,1,67,65,78,79,70,73,72,65,74,78,64,72,62,72,60,79,69,88,85,75,81,76,68,71,60,73,74,77,71,12,16,10,13,7,68,70,73,73,75,84
866,Denis Suárez Fernández,RC Celta,78,13000000.0,0,3,3,1,1,77,72,44,81,68,83,82,70,78,83,77,76,82,82,76,75,58,66,55,73,47,62,76,81,63,70,69,59,42,10,14,10,7,7,76,72,79,83,59,56
867,Santiago García,Godoy Cruz,78,10500000.0,0,3,4,2,0,55,82,75,61,76,71,68,75,54,74,67,65,68,72,60,82,75,75,89,73,86,25,83,71,77,77,20,24,15,12,12,11,9,9,66,80,62,71,27,84
868,Konstantinos Fortounis,Olympiacos CFP,78,12500000.0,0,3,4,2,0,77,72,57,77,71,82,84,80,74,80,75,78,80,77,68,74,61,70,68,77,63,32,75,77,80,80,45,35,38,16,15,16,13,11,77,74,77,80,40,67
870,Jamaal Lascelles,Newcastle United,78,12000000.0,0,2,3,0,1,46,23,79,65,33,50,29,16,57,64,57,61,67,75,51,40,85,69,84,27,83,78,23,40,19,73,79,77,76,10,15,7,10,15,59,28,51,57,78,80
871,André Carrillo,Al Hilal,78,10500000.0,0,4,4,1,1,78,73,70,73,74,85,78,55,62,82,86,86,81,74,75,76,73,67,72,75,53,34,74,73,68,73,26,32,25,11,14,13,12,7,86,74,72,83,34,67
872,Álvaro González Soberón,Olympique de Marseille,78,8500000.0,0,2,3,0,1,51,22,73,69,31,48,47,45,57,64,67,71,65,73,72,65,92,77,73,20,89,79,45,39,36,67,76,78,81,8,13,12,12,8,69,33,55,57,77,78
873,Gregoire Defrel,Sassuolo,78,10500000.0,1,4,3,1,0,70,79,68,67,75,83,67,69,60,82,87,85,81,75,72,79,42,56,56,78,53,37,81,75,69,75,50,15,18,14,15,11,12,7,86,78,68,82,36,55
874,Jannik Vestergaard,Southampton,78,11000000.0,0,2,4,1,1,46,34,85,66,28,45,41,52,80,57,34,34,29,73,28,83,36,54,90,47,84,81,46,60,75,74,77,82,78,16,11,11,15,10,34,49,61,48,80,77
875,Alexander Schwolow,SC Freiburg,78,8500000.0,0,1,3,1,1,9,12,12,26,11,15,13,16,23,22,36,38,40,76,42,53,72,31,67,15,26,13,10,34,22,32,16,17,9,78,76,71,74,80,78,76,71,80,37,74
876,Fernando Lucas Martins,Beijing Sinobo Guoan FC,78,11000000.0,0,3,3,1,1,60,63,62,81,45,70,82,84,82,76,70,76,74,73,81,76,80,80,69,76,80,80,47,75,61,70,69,78,77,16,9,13,8,6,73,66,76,73,74,75
877,Diego Demme,RB Leipzig,78,10500000.0,0,3,4,0,1,70,26,57,80,48,71,65,62,76,75,68,53,85,75,84,62,79,94,68,30,82,78,62,70,58,72,77,75,72,14,10,14,12,9,60,39,74,74,74,78
878,Jeffrey Gouweleeuw,FC Augsburg,78,9500000.0,0,2,3,1,0,60,46,72,68,49,60,45,36,80,66,68,70,66,78,64,72,68,68,78,77,78,82,61,71,42,74,80,82,76,13,7,16,13,7,69,58,66,64,80,75
879,Edinaldo Gomes Pereira,RCD Espanyol,78,8500000.0,0,2,3,1,1,30,29,79,65,24,49,46,41,60,57,36,42,36,72,41,60,76,62,80,41,75,82,26,33,43,69,77,82,78,12,5,7,6,8,39,38,49,51,80,74
880,Remo Freuler,Atalanta,78,11500000.0,0,4,3,1,1,72,65,41,79,68,75,60,70,77,79,67,66,70,77,61,73,57,82,65,75,64,73,77,74,61,80,76,72,69,12,8,9,14,13,66,69,75,75,70,69
881,Marcos Rojo,Manchester United,78,8500000.0,1,3,2,1,1,72,50,77,72,48,63,67,57,72,66,67,67,67,74,63,80,81,55,79,63,92,76,53,57,55,70,72,78,79,7,8,12,15,10,67,59,68,65,76,76
882,Jordan Veretout,Roma,78,12500000.0,0,3,3,0,1,72,66,54,82,68,76,70,76,78,78,65,62,74,78,76,76,69,78,64,74,72,76,72,78,78,80,69,74,70,9,10,11,8,9,63,71,78,77,71,69
883,Gastón Ramírez,Sampdoria,78,10500000.0,1,4,3,2,1,74,74,57,80,71,80,79,79,77,81,65,61,77,74,73,76,65,60,51,76,69,32,74,79,73,76,30,45,39,14,15,7,7,8,63,75,78,79,39,58
884,David López Silva,RCD Espanyol,78,10000000.0,0,2,3,0,1,55,53,75,78,56,64,48,46,65,76,53,55,47,72,52,77,73,64,85,60,78,80,59,69,50,69,77,79,74,9,12,7,11,15,54,60,67,66,78,78
885,Matt Doherty,Wolverhampton Wanderers,78,10500000.0,0,3,4,1,0,79,61,71,74,46,74,63,45,69,76,71,76,67,73,68,76,82,92,72,62,75,74,75,66,48,68,71,77,75,15,8,12,11,9,74,64,71,74,74,78
886,Agustín Marchesín,FC Porto,78,6500000.0,0,1,3,1,1,18,14,11,37,15,24,16,15,34,20,49,52,68,75,60,56,75,38,59,12,45,15,18,65,14,64,22,15,15,77,75,74,79,81,77,75,74,81,51,79
887,Pedro Filipe Teodósio Mendes,Montpellier HSC,78,10000000.0,0,2,3,1,1,25,25,73,69,22,62,48,52,66,63,65,62,55,71,53,67,74,75,79,34,85,80,25,32,35,70,80,82,77,10,6,13,10,10,63,36,50,62,80,79
888,Mark Uth,FC Schalke 04,78,11000000.0,1,3,2,0,1,67,79,69,72,74,77,60,57,68,77,77,76,74,84,67,84,71,75,67,82,61,39,79,71,74,76,34,39,36,9,11,8,9,11,76,80,69,77,40,68
889,Bruno González Cabrera,Getafe CF,78,8500000.0,0,2,3,1,1,21,23,80,73,23,40,49,31,68,68,38,39,30,77,31,66,63,63,88,22,80,78,36,35,42,69,76,77,76,12,9,8,13,8,39,33,51,49,77,79
890,Sebastian Rode,Eintracht Frankfurt,78,9000000.0,0,3,3,0,0,66,55,66,77,55,72,51,52,72,75,68,66,69,78,74,75,76,75,74,65,85,79,69,74,51,75,78,77,74,9,8,14,7,11,67,62,71,73,76,77
891,Lewis Dunk,Brighton & Hove Albion,78,11000000.0,0,2,3,0,1,32,37,76,71,24,60,30,43,74,68,42,50,44,79,37,72,74,64,83,21,80,78,30,45,36,72,79,76,78,15,16,9,12,6,46,40,55,61,78,77
892,Manuel Agudo Durán,Sevilla FC,78,8000000.0,0,4,3,2,0,78,79,56,77,65,78,81,80,69,80,70,67,76,79,74,74,63,59,63,79,73,50,80,76,74,79,49,39,27,10,15,12,8,8,68,77,76,78,45,64
893,Michael Gregoritsch,FC Augsburg,78,13500000.0,1,4,3,2,0,65,77,71,77,75,75,83,79,71,78,62,66,65,78,52,84,34,69,79,80,58,33,78,74,64,65,36,40,38,10,6,9,16,6,64,78,74,74,40,70
894,Vincent Aboubakar,FC Porto,78,12000000.0,0,4,3,1,0,57,78,74,72,78,80,80,67,68,79,72,76,72,74,63,80,75,69,85,73,76,33,76,77,74,84,44,23,19,8,10,9,7,8,74,77,70,78,36,79
895,Kévin Malcuit,Napoli,78,9000000.0,0,3,3,1,0,79,66,65,77,56,80,62,47,72,76,83,86,78,74,76,66,72,77,73,56,77,73,66,68,55,69,74,77,77,12,13,12,9,11,85,63,73,78,74,75
896,Benjamin Stambouli,FC Schalke 04,78,9000000.0,0,2,4,0,2,45,50,72,77,40,67,42,43,79,76,63,63,67,78,65,65,71,76,76,62,78,80,60,74,50,80,82,80,75,8,13,11,15,15,63,55,67,70,79,76
897,Sérgio Miguel Relvas de Oliveira,FC Porto,78,11500000.0,0,3,3,1,1,76,67,64,81,73,77,73,80,79,80,62,55,66,73,67,87,56,67,65,87,72,72,72,81,74,76,70,69,46,9,9,11,11,10,58,76,79,76,67,66
898,Florian Lejeune,Newcastle United,78,10500000.0,0,2,3,0,1,51,50,75,75,42,62,47,41,70,73,46,51,55,72,57,75,78,69,83,66,81,81,46,46,43,77,80,76,73,11,15,15,12,7,49,57,61,65,78,79
899,Nicolás Lodeiro,Seattle Sounders FC,78,10000000.0,1,4,4,1,0,81,65,42,79,70,78,81,77,76,81,69,67,77,79,77,71,65,88,61,76,69,49,75,78,76,78,50,52,40,12,16,11,7,15,68,70,79,79,49,70
903,Kevin Mirallas,Royal Antwerp FC,78,9000000.0,0,4,4,2,0,77,71,64,80,75,81,77,76,75,82,77,75,79,74,73,77,68,69,58,72,58,35,76,67,75,73,31,52,51,8,10,14,13,15,76,73,76,80,43,61
908,Jaume Vicent Costa Jordá,Valencia CF,78,7500000.0,1,3,3,0,0,80,57,70,79,38,69,67,59,65,79,77,76,72,69,76,75,71,66,67,64,85,80,66,57,56,69,78,78,79,10,11,16,10,14,76,61,71,73,78,71
911,Felipe Caicedo,Lazio,78,10000000.0,1,3,3,0,0,59,76,75,79,75,77,66,68,66,79,73,74,60,78,67,84,75,61,92,68,80,43,82,75,73,70,32,44,47,7,13,7,8,10,74,76,71,75,44,81
913,Carlos Tévez,Boca Juniors,78,4500000.0,0,4,3,2,0,71,78,54,79,74,78,74,68,68,78,71,66,76,74,79,82,51,61,75,72,77,39,78,75,72,83,38,51,50,4,2,3,2,4,68,77,74,78,45,71
914,Andrea Masiello,Atalanta,78,4900000.0,0,2,2,0,1,60,23,76,66,52,54,47,35,68,62,55,54,58,79,56,63,77,58,71,41,79,82,30,36,31,78,78,82,79,14,7,12,12,12,54,37,57,58,80,70
918,Victor Moses,Fenerbahçe SK,78,10500000.0,0,4,4,1,1,76,67,70,76,64,82,75,61,70,81,78,76,75,76,82,74,66,80,69,69,62,73,72,72,75,75,74,74,71,9,7,8,16,16,77,69,74,81,73,70
920,Julian Baumgartlinger,Bayer 04 Leverkusen,78,8000000.0,0,2,3,0,1,63,39,69,81,50,65,47,49,71,74,66,68,65,74,64,73,78,87,77,39,84,77,62,64,59,75,79,80,75,9,13,10,9,14,67,49,69,68,78,81
923,Markel Susaeta Laskurain,Gamba Osaka,78,9000000.0,0,4,3,1,1,85,69,52,82,62,83,83,82,81,82,75,70,77,74,74,78,65,64,58,75,68,43,74,81,58,76,57,23,27,12,7,8,6,10,72,71,82,81,41,62
926,Hugo Mallo Novegil,RC Celta,78,9000000.0,0,3,3,1,0,78,28,65,71,28,69,78,38,68,78,67,69,74,80,65,71,78,83,68,39,76,78,46,64,23,70,69,81,82,14,9,7,9,15,68,39,69,73,75,74
934,Daniel Ginczek,VfL Wolfsburg,78,10500000.0,0,3,4,1,0,31,78,74,64,78,69,49,58,37,73,67,84,54,76,53,85,64,59,90,66,80,29,79,58,76,71,30,45,19,13,6,15,7,15,76,77,51,68,38,79
938,Andy Delort,Montpellier HSC,78,12000000.0,0,3,3,0,0,71,78,76,74,77,74,41,71,63,73,70,75,71,72,75,85,80,78,82,74,79,23,79,72,75,73,31,29,24,10,14,10,8,11,73,78,70,73,33,80
941,Oscar De Marcos Arana,Athletic Club de Bilbao,78,8000000.0,0,4,3,1,0,80,59,59,75,57,76,77,53,69,73,78,86,73,80,72,73,77,91,72,56,77,76,76,66,55,75,69,74,74,8,6,13,15,9,82,62,72,75,71,78
943,Guillermo Ochoa,Club América,78,5500000.0,0,1,3,1,1,15,12,19,31,16,10,14,17,32,18,47,50,65,74,42,56,75,34,56,11,19,23,16,48,16,57,21,10,12,77,69,75,79,83,77,69,75,83,49,79
945,Orestis Karnezis,Napoli,78,5500000.0,0,1,3,1,1,19,16,24,22,14,15,11,11,36,23,44,34,45,75,49,54,64,33,66,18,18,23,10,47,21,60,20,15,24,78,76,72,77,79,78,76,72,79,39,77
949,Rafael Tolói,Atalanta,78,10500000.0,0,2,2,1,0,44,28,76,66,30,58,41,70,68,66,63,64,62,78,66,75,76,57,67,62,78,82,40,50,64,78,77,82,80,11,12,16,16,8,64,47,58,62,80,67
955,Jose Holebas,Watford,78,2900000.0,1,3,2,1,0,85,57,74,78,50,73,76,71,69,80,68,69,66,74,71,82,73,77,70,72,89,71,62,64,57,72,74,82,79,15,13,13,14,16,69,65,75,74,76,76
961,Martín Cáceres,Fiorentina,78,6500000.0,0,3,3,0,1,69,37,75,69,65,68,68,41,65,69,72,75,78,73,76,70,91,63,74,59,78,80,50,58,50,78,80,78,78,2,3,4,2,4,74,51,65,70,79,73
964,Ryad Boudebouz,AS Saint-Étienne,78,10000000.0,1,4,4,2,0,80,77,45,78,73,80,83,82,75,78,69,72,78,73,74,77,61,61,60,75,53,35,74,82,90,75,51,35,30,10,12,16,10,14,71,77,79,79,40,59
965,Daniel Filipe Martins Carriço,Sevilla FC,78,8500000.0,0,2,3,1,1,61,48,77,75,47,58,39,54,75,64,35,42,58,71,66,66,92,56,75,50,85,76,57,62,62,73,79,78,79,14,10,15,15,12,39,53,67,61,78,73
967,David Abraham,Eintracht Frankfurt,78,6500000.0,0,2,2,1,1,44,46,79,71,65,44,45,67,72,59,72,78,59,76,55,74,81,68,80,63,79,77,31,49,54,78,78,81,72,6,10,12,9,8,75,56,60,52,78,77
969,Valter Birsa,Cagliari,78,8000000.0,1,4,4,1,1,76,62,60,80,73,80,78,78,75,84,65,68,66,73,66,84,66,66,75,83,55,49,75,79,76,76,68,52,40,3,5,5,5,3,67,73,78,79,56,68
970,Ryan Bertrand,Southampton,78,8500000.0,1,3,3,1,0,80,50,68,76,43,77,74,66,70,78,75,76,73,76,69,59,71,73,67,54,73,76,63,51,52,76,73,81,80,11,13,15,10,15,76,53,70,76,76,70
971,James Tomkins,Crystal Palace,78,8500000.0,0,2,3,1,1,45,29,78,70,28,50,33,31,60,59,37,44,47,76,48,40,76,64,79,29,80,78,38,54,43,74,81,80,78,11,8,6,9,14,41,32,57,54,80,75
972,Guilherme Alvim Marinato,Lokomotiv Moscow,78,5500000.0,0,1,2,1,1,13,11,13,39,13,16,19,12,33,21,37,40,54,74,30,54,62,34,71,16,35,21,13,55,12,65,14,16,18,82,73,72,78,80,82,73,72,80,39,78
975,Gervais Yao Kouassi,Parma,78,8000000.0,0,3,3,2,0,75,72,63,73,70,80,69,43,67,78,91,90,88,76,76,69,60,75,54,64,51,39,78,74,63,68,35,29,15,14,5,12,10,13,90,70,71,80,35,59
976,Raffael Caetano de Araújo,Borussia Mönchengladbach,78,5500000.0,0,4,4,1,0,78,77,59,82,81,85,79,77,76,83,67,57,83,79,83,76,70,59,62,73,66,45,81,80,72,76,43,42,31,12,10,5,13,14,62,76,80,84,44,62
978,Josef de Souza Dias,Al Ahli,78,8500000.0,0,3,4,1,0,63,54,75,76,44,71,68,60,73,77,67,69,69,71,66,77,65,91,83,71,82,79,66,66,62,74,77,80,74,10,12,7,10,8,68,63,70,72,78,84
